,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,Tweet,cleaned_hashtag
1534,StudiosLapin,"Model, actress, writer, comedian. Sometimes I fashion. Sometimes I radio.","Atlanta, GA",717,256,1150,2019-06-04 13:50:56,2020-07-25 18:43:27,0,"Oh guess what? I wrote this interview on @madisonbailey and it was an incredible experience 🥰

#obx #outerbanks #netflix #writer #OuterBanksSeason2 #QuarantineAndChill https://t.co/RO4QAgHgkA","[{'text': 'obx', 'indices': [95, 99]}, {'text': 'outerbanks', 'indices': [100, 111]}, {'text': 'netflix', 'indices': [112, 120]}, {'text': 'writer', 'indices': [121, 128]}, {'text': 'OuterBanksSeason2', 'indices': [129, 147]}, {'text': 'QuarantineAndChill', 'indices': [148, 167]}]","['guess', 'what', 'write', 'interview', 'incredible', 'experience', 'obx']","['#outerbanks', '#netflix', '#writer', '#OuterBanksSeason2', '#QuarantineAndChill']"
1535,IanWCampbell,Executive Chair at Innovate UK. Funding and connecting with UK business to drive sector growth. Sport fanatic! .......views are my own,,204,3229,5438,2009-07-17 15:01:21,2020-07-25 18:43:24,0,"RT@psenews - Full article here https://t.co/7WR9WFJp3O

Q&amp;A with Ian Campbell on how innovation can support our nation's recovery from this pandemic 

@innovateuk #innovate #pandemic #covid #economy","[{'text': 'innovate', 'indices': [167, 176]}, {'text': 'pandemic', 'indices': [177, 186]}, {'text': 'covid', 'indices': [187, 193]}, {'text': 'economy', 'indices': [194, 202]}]","['full', 'article', 'ian', 'campbell', 'innovation', 'support', 'nation', 'recovery', 'pandemic']","['#innovate', '#pandemic', '#covid', '#economy']"
1536,marvelcheese,"""The test of our progress is not whether we add more to the abundance of those who have much, it is whether we provide enough for those who have little.""
-FDR",,3607,1303,8513,2009-04-09 23:25:45,2020-07-25 18:43:21,0,"@ReallyAmerican1 Trump is totally out of touch with reality. He thinks his presidency, the #pandemic and #protests2020 are all just a game on TV, all about ratings. He is immersed in his own #narcissism, doesn't give a shit that American's rights being violated, or if they're hurt or killed.","[{'text': 'pandemic', 'indices': [91, 100]}, {'text': 'protests2020', 'indices': [105, 118]}, {'text': 'narcissism', 'indices': [191, 202]}]","['trump', 'totally', 'touch', 'reality', 'think', 'presidency', 'game', 'rating', 'immerse', 'give', 'shit', 'american', 'right', 'violate', '-PRON-', 'hurt', 'kill']","['#pandemic', '#protests2020', '#narcissism,']"
1537,jkelker,,,595,83,12586,2009-03-29 13:49:56,2020-07-25 18:43:17,0,"Emerson Brophy on TikTok Sometimes you want to be constructive, sometimes you just want to be angry. And that's valid 👍🏻 #wearamask #covid #lockdown #TikTokAustralia https://t.co/vyyQsVXVwM","[{'text': 'wearamask', 'indices': [121, 131]}, {'text': 'covid', 'indices': [132, 138]}, {'text': 'lockdown', 'indices': [139, 148]}, {'text': 'TikTokAustralia', 'indices': [149, 165]}]","['emerson', 'brophy', 'tiktok', 'sometimes', 'want', 'constructive', 'sometimes', 'want', 'angry', 'that', 'valid']","['#wearamask', '#covid', '#lockdown', '#TikTokAustralia']"
1538,Bonrad570,Music is basically my life! I play the drums and sing! I love experimenting with all different kinds of music by playing it and adding my own obscure twist!,"Pennsylvania, USA",248,31,109,2011-01-05 15:58:19,2020-07-25 18:43:10,0,Think about what this pandemic would be like if we still only had early 90's dialup internet. #Thinkingaloud #pandemic #InternetEssentials #internetshutdown,"[{'text': 'Thinkingaloud', 'indices': [94, 108]}, {'text': 'pandemic', 'indices': [109, 118]}, {'text': 'InternetEssentials', 'indices': [119, 138]}, {'text': 'internetshutdown', 'indices': [139, 156]}]","['think', 'pandemic', 'would', 'like', 'still', 'early', 'dialup', 'internet']","['#Thinkingaloud', '#pandemic', '#InternetEssentials', '#internetshutdown']"
1539,FarFaithNull,When everything is lost - there is no hockey!  Time to share what we all have been thinking while living in quarantine.  Blah! Now for animal venery.,Quarantine,68,6,7330,2016-06-17 17:58:09,2020-07-25 18:43:07,0,I think I broke my Switch #Lockdown #QuarantineLife,"[{'text': 'Lockdown', 'indices': [26, 35]}, {'text': 'QuarantineLife', 'indices': [36, 51]}]","['think', 'break', 'switch']","['#Lockdown', '#QuarantineLife']"
1540,BetsyLandin,"🎭 @DolphinTale, #DolphinTale2, @SHO_RayDonovan, #TheWarWithGrandpa, #Killerman, #LIVEMovie 📽/📺📝. 🎙. 🐶💗 IG:@BetsyLandin","Los Angeles, CA",354,1242,7569,2009-04-19 17:17:02,2020-07-25 18:42:52,0,#Quarantine and waiting for baby to come got me feelin’ like... #travel #lockdown #laborinthetimeofcorona https://t.co/hf51xKYOnE,"[{'text': 'Quarantine', 'indices': [0, 11]}, {'text': 'travel', 'indices': [64, 71]}, {'text': 'lockdown', 'indices': [72, 81]}, {'text': 'laborinthetimeofcorona', 'indices': [82, 105]}]","['wait', 'baby', 'come', 'get', 'feelin', 'like']","['#Quarantine', '#travel', '#lockdown', '#laborinthetimeofcorona']"
1541,Shmakid2,"successcomedy owner,artist,writer and actress.",,38,3,5,2020-07-11 16:45:57,2020-07-25 18:42:52,0,#Lockdown house party buti👌,"[{'text': 'Lockdown', 'indices': [0, 9]}]","['house', 'party', 'buti']",['#Lockdown']
1542,ronjoneone,Slightly befuddled...,There or thereabouts,439,13,265,2011-09-21 14:18:55,2020-07-25 18:42:42,0,"Table service in bars, what a great idea. #covid19 #lockdown #coronavirusuk","[{'text': 'covid19', 'indices': [42, 50]}, {'text': 'lockdown', 'indices': [51, 60]}, {'text': 'coronavirusuk', 'indices': [61, 75]}]","['table', 'service', 'bar', 'great', 'idea']","['#covid19', '#lockdown', '#coronavirusuk']"
1543,cryon1recordz,"sello aka Cry was born at mabopane, tshwane in pta,he is a musician, writer and composer, a funded and C.E.O of on1recordz, signed trio called on1gang","Pretoria, South Africa",382,77,161,2017-03-23 09:09:14,2020-07-25 18:42:41,0,"They keep saying @ kwaito is dead, yet its not, the problem is that, the inventors and kwaito artists  no longer belife in what they do, #Lockdown party, show them white boy@DJ  DA_LOTTZ","[{'text': 'Lockdown', 'indices': [137, 146]}]","['keep', 'say', 'kwaito', 'dead', 'yet', 'not', 'problem', 'that', 'inventor', 'kwaito', 'artist', 'long', 'belife', 'party', 'show', 'white', 'boy', 'lottz']",['#Lockdown']
1544,TechNoirUK,"“Cats and dogs living together, mass hysteria!”","Ewok Village, Moon of Endor",902,689,49757,2013-04-28 14:12:26,2020-07-25 18:42:21,0,"I need at least 10-20 years before I have any interest in watching a fictional drama about first world country families during #coronavirus #lockdown, I know hundreds of scripts are already being written  #screenwriting","[{'text': 'coronavirus', 'indices': [127, 139]}, {'text': 'lockdown', 'indices': [140, 149]}, {'text': 'screenwriting', 'indices': [205, 219]}]","['need', 'least', 'year', 'interest', 'watch', 'fictional', 'drama', 'first', 'world', 'country', 'family', 'know', 'hundred', 'script', 'already', 'write']","['#coronavirus', '#lockdown,', '#screenwriting']"
1545,ScatterchildUK,"Parallel Lines out now... 
The one who tweets: Jay Plent",Manchester UK,378,172,799,2013-12-11 19:46:02,2020-07-25 18:41:42,2,Jay's on bbcintrocambs tonight talking about #Collabavirus and what's been keeping us busy in #lockdown. Tune in from 8pm for unsigned wonderment with ellen_ellard @ BBC Radio Cambridgeshire https://t.co/UusobTIG6H,"[{'text': 'Collabavirus', 'indices': [45, 58]}, {'text': 'lockdown', 'indices': [94, 103]}]","['jay', 'bbcintrocamb', 'tonight', 'talk', 'what', 'keep', 'busy', 'tune', '8', 'p.m.', 'unsigned', 'wonderment', 'ellen', 'ellard', 'bbc', 'radio', 'cambridgeshire']","['#Collabavirus', '#lockdown.']"
1546,MaryShelleyGirl,"Writer•Runner•Goth•Dungeon Master•Gnome Bard & Halfling Druid•Survived Grad School•She/Her
#WritingCommunity #DnD","Metro-Detroit, Michigan",791,625,25313,2012-01-18 19:23:46,2020-07-25 18:41:16,0,"😎 Wear two masks and make all your friends jealous, because you are so cool. Grocery shopping has never been more radical. 🤘

#WearAMask #WearAMaskSaveALife #pandemic #COVID19 #SocialDistancing https://t.co/iT84F12gzQ","[{'text': 'WearAMask', 'indices': [126, 136]}, {'text': 'WearAMaskSaveALife', 'indices': [137, 156]}, {'text': 'pandemic', 'indices': [157, 166]}, {'text': 'COVID19', 'indices': [167, 175]}, {'text': 'SocialDistancing', 'indices': [176, 193]}]","['wear', 'two', 'mask', 'make', 'friend', 'jealous', 'cool', 'grocery', 'shopping', 'never', 'radical', 'wearamask']","['#WearAMaskSaveALife', '#pandemic', '#COVID19', '#SocialDistancing']"
1547,MelanieBlakeUK,Boss at @UrbanAssociates & Author of #1 best seller #TheThunderGirls. New novel #RuthlessWomen out 2021. Playwright/producer/columnist. Lawyers: https://t.co/W9nZwlY9XY,"London, England",1341,23099,23495,2017-06-18 19:52:01,2020-07-25 18:41:05,9,"As if by magic! they must have been listening... 

Here is my searingly honest #Lockdown story which is the lead in my guest #SundayMirror column tomorrow.... https://t.co/tW9VB6JfPw","[{'text': 'Lockdown', 'indices': [79, 88]}, {'text': 'SundayMirror', 'indices': [125, 138]}]","['magic', 'must', 'listen', 'here', 'searingly', 'honest', 'story', 'lead', 'guest', 'column', 'tomorrow']","['#Lockdown', '#SundayMirror']"
1548,jaikukki,The whole world is one family. Live life to the fullest. Do not regret your past. Own responsibility for failures or mistakes. Live a simple and honest life.,United States,195,71,2276,2011-02-02 05:06:37,2020-07-25 18:40:40,0,@coachdivya Side effects of #lockdown 🙄,"[{'text': 'lockdown', 'indices': [28, 37]}]","['side', 'effect']",['#lockdown']
1549,TheMeetGroup,The Meet Group (NASDAQ: MEET) is a portfolio of mobile social entertainment apps designed to meet the universal need for human connection.,,558,506,371,2017-03-24 14:32:53,2020-07-25 18:40:33,1,"The Meet Group’s CEO, @geoffcook, talks to @Bloomberg about real-life dating and the role of video today, including The Meet Group’s portfolio of apps, which have been pioneering video dating for the last 3 years. #video #pandemic #dating https://t.co/4AjaQbcpGp","[{'text': 'video', 'indices': [214, 220]}, {'text': 'pandemic', 'indices': [221, 230]}, {'text': 'dating', 'indices': [231, 238]}]","['meet', 'group', 'ceo', 'talk', 'real', 'life', 'date', 'role', 'video', 'today', 'include', 'meet', 'group', 'portfolio', 'app', 'pioneering', 'video', 'date', 'last', 'year', 'video']","['#pandemic', '#dating']"
1550,FundMatters,We will make it work!,India,73,67,413,2013-05-31 13:15:08,2020-07-25 18:40:30,1,"If meeting our financial goals is the destination, then investing sensibly is the journey.

Click on the link to read:

https://t.co/hDPlEXnbSf

#stockmarket #shares #covid19 #Pandemic #pandemicandmoney #investing #investments #money #mutualfunds #sectorinvesting #stockmarketinv https://t.co/hCo43otblJ","[{'text': 'stockmarket', 'indices': [145, 157]}, {'text': 'shares', 'indices': [158, 165]}, {'text': 'covid19', 'indices': [166, 174]}, {'text': 'Pandemic', 'indices': [175, 184]}, {'text': 'pandemicandmoney', 'indices': [185, 202]}, {'text': 'investing', 'indices': [203, 213]}, {'text': 'investments', 'indices': [214, 226]}, {'text': 'money', 'indices': [227, 233]}, {'text': 'mutualfunds', 'indices': [234, 246]}, {'text': 'sectorinvesting', 'indices': [247, 263]}, {'text': 'stockmarketinv', 'indices': [264, 279]}]","['meet', 'financial', 'goal', 'destination', 'invest', 'sensibly', 'journey', 'click', 'link', 'read', 'stockmarket']","['#shares', '#covid19', '#Pandemic', '#pandemicandmoney', '#investing', '#investments', '#money', '#mutualfunds', '#sectorinvesting', '#stockmarketinv']"
1551,MissNomalanga,🎤 Speaking Coach |TEDxLytteltonWomen Coach |Entrepreneur | Lawyer | MWF2017 |Founder @WomenOutspoken,"Downtown, Washington",1348,1163,13852,2010-02-26 12:49:31,2020-07-25 18:40:23,0,"#Zimbabwe #lockdown it doesn’t make sense. New letters are required  for employees to go into town from Monday, how will they collect them when directive came today https://t.co/B0CxBSX9Hr","[{'text': 'Zimbabwe', 'indices': [0, 9]}, {'text': 'lockdown', 'indices': [10, 19]}]","['doesn', 'make', 'sense', 'new', 'letter', 'require', 'employee', 'town', 'monday', 'collect', 'directive', 'come', 'today']","['#Zimbabwe', '#lockdown']"
1552,RightToKnowIn,"One place to know it all
Empower your Decisions

Bringing you the reality from behind the scene","Mumbai, India",46,7,948,2017-02-13 11:14:47,2020-07-25 18:40:04,0,"@SDarkFantasy Sucks! You guys looking opportunity in this #pandemic when 30k already died and Millions on the road

And in coming days millions won't have money to survive 🤬","[{'text': 'pandemic', 'indices': [58, 67]}]","['suck', 'guy', 'look', 'opportunity', '30k', 'already', 'die', 'millions', 'road', 'and', 'come', 'day', 'million', 'money', 'survive']",['#pandemic']
1553,teacherinphilly,"She/her. Humanities teacher, mother/wife, rabblerouser, faithfulangryCatholic, Philly!, reader, Union YES, Racial Justice Organizing, pro oxford comma, #PhlEd","Philadelphia, PA.",774,1137,19152,2011-05-04 01:27:15,2020-07-25 18:39:53,0,"Well, my husband's moustache has been sacrificed to the fight against #Covid_19. It's worth it. His hospital is fitting all the medical folks for N-95 respirator masks, and they need clean-shaven faces. #PhlEd #Lue1920 #pandemic","[{'text': 'Covid_19', 'indices': [70, 79]}, {'text': 'PhlEd', 'indices': [203, 209]}, {'text': 'Lue1920', 'indices': [210, 218]}, {'text': 'pandemic', 'indices': [219, 228]}]","['well', 'husband', 'moustache', 'sacrifice', 'fight', 'worth', 'hospital', 'fitting', 'medical', 'folk', 'respirator', 'mask', 'need', 'clean', 'shaven', 'face']","['#Covid_19.', '#PhlEd', '#Lue1920', '#pandemic']"
1554,zRedhead01,mum to @Dog1Sophie & @lesmurflx's other half. Ex comms/PR now work for a charity. Always planning next tattoo. Forever @EdinburghRugby supporter. Views my own.,,1157,1634,34753,2012-07-09 15:05:57,2020-07-25 18:39:28,0,"First day back in the gym since well before #lockdown and it's empty. Which, to me, is PERFECT. Straight on to the leg press, then the squat rack. No waiting, no beefcake hogging it all. LOVING THIS #girlswholift #weightlifting","[{'text': 'lockdown', 'indices': [44, 53]}, {'text': 'girlswholift', 'indices': [199, 212]}, {'text': 'weightlifting', 'indices': [213, 227]}]","['first', 'day', 'back', 'gym', 'since', 'well', 'empty', 'which', 'perfect', 'straight', 'leg', 'press', 'squat', 'rack', 'wait', 'beefcake', 'hog', 'all', 'loving']","['#lockdown', '#girlswholift', '#weightlifting']"
1555,monsisunique,"Footloose, fancy free, wildlife enthusiast, Wannabe journalist, Social activist, Travel junkie, avid reader and believer in the mantra...Its one life ENJOY","Brooklyn, NY",153,177,2584,2013-08-14 08:53:47,2020-07-25 18:39:03,0,"It requires patience, preparation and perseverance but finally ...a #shelduck @LIVEsafariLIVE Bravo dylandavidsmith Even a #virtualsafari is better than none. I was to leave today😢 #pandemic #keepingsane #coronalife… https://t.co/fgUjg99pDG","[{'text': 'shelduck', 'indices': [68, 77]}, {'text': 'virtualsafari', 'indices': [123, 137]}, {'text': 'pandemic', 'indices': [181, 190]}, {'text': 'keepingsane', 'indices': [191, 203]}, {'text': 'coronalife', 'indices': [204, 215]}]","['require', 'patience', 'preparation', 'perseverance', 'finally', 'bravo', 'dylandavidsmith', 'even', 'good', 'none', 'leave', 'today']","['#shelduck', '#virtualsafari', '#pandemic', '#keepingsane', '#coronalife…']"
1556,BeckyAnneMartin,"Genetics means son 2 is profoundly disabled & son 1 has severe autism & T1D..that doesn’t stop us! Here for carers, schools, NHS, Cheltenham, debate & smiles","Cheltenham, England",1058,1124,6819,2015-06-09 19:37:12,2020-07-25 18:38:40,0,Baby pumpkins 🥰🎃 #lockdown is producing many a strange thing in my #garden ☺️ #gardening #Homegrown https://t.co/DWFvfJjBsa,"[{'text': 'lockdown', 'indices': [17, 26]}, {'text': 'garden', 'indices': [67, 74]}, {'text': 'gardening', 'indices': [78, 88]}, {'text': 'Homegrown', 'indices': [89, 99]}]","['baby', 'pumpkin', 'produce', 'many', 'strange', 'thing']","['#lockdown', '#garden', '#gardening', '#Homegrown']"
1557,Lovemor63676513,,"Vereeniging, South Africa",40,3,3,2020-02-18 10:47:00,2020-07-25 18:38:09,0,#lockdown party,"[{'text': 'lockdown', 'indices': [0, 9]}]",['party'],['#lockdown']
1558,MercyHome,"Official Twitter of Mercy Home for Boys & Girls, a solution for kids in crisis since 1887.",Chicago,797,4137,10876,2009-05-19 00:09:18,2020-07-25 18:38:01,0,"With much uncertainty in the world amidst the #pandemic, it’s important that we remain hopeful for the future. Many of our young people have experienced tremendous hardships. It's been inspiring to see Thomas transform into such a confident young man. https://t.co/vs01AFqI3R https://t.co/11UaGPbGEL","[{'text': 'pandemic', 'indices': [46, 55]}]","['much', 'uncertainty', 'world', 'amidst', 'important', 'remain', 'hopeful', 'future', 'many', 'young', 'people', 'experience', 'tremendous', 'hardship', 'inspire', 'see', 'thomas', 'transform', 'confident', 'young', 'man']","['#pandemic,']"
1559,TylerRomanosky,Visual effects artist and filmmaker.,,51,43,105,2015-11-01 23:14:45,2020-07-25 18:37:48,1,Check out my latest short Pennsylvania 2025 A.D.!https://t.co/W8hEg2WqBJ via @YouTube  #COVID19 #pandemic #postapocalyptic #Pennsylvania #3Danimation #3dmodeling #funny #YouTube #pandemic2020 #lightwave3d,"[{'text': 'COVID19', 'indices': [87, 95]}, {'text': 'pandemic', 'indices': [96, 105]}, {'text': 'postapocalyptic', 'indices': [106, 122]}, {'text': 'Pennsylvania', 'indices': [123, 136]}, {'text': '3Danimation', 'indices': [137, 149]}, {'text': '3dmodeling', 'indices': [150, 161]}, {'text': 'funny', 'indices': [162, 168]}, {'text': 'YouTube', 'indices': [169, 177]}, {'text': 'pandemic2020', 'indices': [178, 191]}, {'text': 'lightwave3d', 'indices': [192, 204]}]","['check', 'late', 'short', 'pennsylvania', '2025', 'via']","['#COVID19', '#pandemic', '#postapocalyptic', '#Pennsylvania', '#3Danimation', '#3dmodeling', '#funny', '#YouTube', '#pandemic2020', '#lightwave3d']"
1560,latestly,"https://t.co/U4rHOvEUQR focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news. https://t.co/OCtmVDjYfd","Mumbai, India",348,62652,129196,2017-02-07 05:41:28,2020-07-25 18:37:21,1,"Use Masks, Don't Overuse Sanitizers: Dr RK Verma, Additional DG Health Services, MoHFW
https://t.co/sPDSIGJjrj
#Mask #Sanitizer #HealthMinistry #Coronavirus #COVID19 #pandemic","[{'text': 'Mask', 'indices': [111, 116]}, {'text': 'Sanitizer', 'indices': [117, 127]}, {'text': 'HealthMinistry', 'indices': [128, 143]}, {'text': 'Coronavirus', 'indices': [144, 156]}, {'text': 'COVID19', 'indices': [157, 165]}, {'text': 'pandemic', 'indices': [166, 175]}]","['use', 'masks', 'overuse', 'sanitizers', 'verma', 'additional', 'health', 'services', 'mohfw', 'mask']","['#Sanitizer', '#HealthMinistry', '#Coronavirus', '#COVID19', '#pandemic']"
1561,FahadManiar,"Fitness coach in Leicester as seen in Top Sante magazine. 
Muay Thai Fighter, Entrepreneur and Family Man.","Leicester, England",247,576,17300,2007-10-15 15:08:59,2020-07-25 18:37:15,0,"With #gymsopen today for most of us are you ready to go back? I’ve put together a video and free training plan on returning to the #gym after #lockdown here 
https://t.co/zi5B2S3NUS
Don’t go the the gym until you check out the link 
#GYMDAY #fitness #fitfam please #rt https://t.co/qIdtj6TkKW","[{'text': 'gymsopen', 'indices': [5, 14]}, {'text': 'gym', 'indices': [131, 135]}, {'text': 'lockdown', 'indices': [142, 151]}, {'text': 'GYMDAY', 'indices': [233, 240]}, {'text': 'fitness', 'indices': [241, 249]}, {'text': 'fitfam', 'indices': [250, 257]}, {'text': 'rt', 'indices': [265, 268]}]","['today', 'ready', 'back', 'put', 'together', 'video', 'free', 'training', 'plan', 'return', 'don', 'gym', 'check', 'link', 'gymday', 'please']","['#gymsopen', '#gym', '#lockdown', '#fitness', '#fitfam', '#rt']"
1562,VitalAnon,"Analyst
{""DevSecOps""} ┊ VFX ┊ Crypto ┊ AI
≠CoIntelPro|Antifa |𝚁𝚃≠🆗

Invite┊𝙳𝙼┊𝙴2𝙴┊Keybase

Disco: 𝘜5𝘧𝘜𝘣3𝘱
OpCov911┊ᑕ𝚊𝚙k 🏴‍☠️🏳️‍🌈☘
ⒶHive|TestMe",https://keybase.io/vitalanon,2424,3573,147340,2015-05-26 20:02:47,2020-07-25 18:37:12,0,"https://t.co/elSIiaTg1w
Why #Millions of US Workers #Aren’t #Collecting #Unemployment During the #COVID-19 #Pandemic https://t.co/AC8h71YfmT","[{'text': 'Millions', 'indices': [28, 37]}, {'text': 'Aren', 'indices': [52, 57]}, {'text': 'Collecting', 'indices': [60, 71]}, {'text': 'Unemployment', 'indices': [72, 85]}, {'text': 'COVID', 'indices': [97, 103]}, {'text': 'Pandemic', 'indices': [107, 116]}]",['worker'],"['#Millions', '#Aren’t', '#Collecting', '#Unemployment', '#COVID-19', '#Pandemic']"
1563,FineTunedOrange,Political comedic commentary. Refers mainly to US politics. Based in EU.,·,508,246,7976,2020-02-14 10:27:17,2020-07-25 18:36:40,0,"@piersmorgan Yeah, the propaganda arm of the government gives lessons in freedom of speech..
Fauci has some sketchy links to the Wuhan lab
An abject mediocrity that supported the fasc¡st #Lockdown
He should have been fired by end-March, and prosecuted by now","[{'text': 'Lockdown', 'indices': [187, 196]}]","['yeah', 'propaganda', 'arm', 'government', 'give', 'lesson', 'freedom', 'speech', 'fauci', 'sketchy', 'link', 'wuhan', 'lab', 'abject', 'mediocrity', 'support', 'fasc', 'fire', 'end', 'march', 'prosecute']",['#Lockdown\nHe']
1564,latestly,"https://t.co/U4rHOvEUQR focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news. https://t.co/OCtmVDjYfd","Mumbai, India",348,62652,129196,2017-02-07 05:41:28,2020-07-25 18:36:32,0,"Delhi: Patients Complain of Overcharging by Some Private Hospitals for COVID-19 Treatment
https://t.co/s6WPKC2yIN
#Delhi #Patient #Coronavirus #COVID19 #treatment #pandemic","[{'text': 'Delhi', 'indices': [114, 120]}, {'text': 'Patient', 'indices': [121, 129]}, {'text': 'Coronavirus', 'indices': [130, 142]}, {'text': 'COVID19', 'indices': [143, 151]}, {'text': 'treatment', 'indices': [152, 162]}, {'text': 'pandemic', 'indices': [163, 172]}]","['delhi', 'patients', 'complain', 'overcharge', 'private', 'hospitals', 'covid', 'treatment', 'delhi']","['#Patient', '#Coronavirus', '#COVID19', '#treatment', '#pandemic']"
1565,NSoJ_Bangalore,"India’s premier journalism school. We produce ethical journalists who are committed to justice, truth and democracy.","Bengaluru, India",138,643,2895,2016-01-13 10:57:56,2020-07-25 18:36:20,0,"Do you perhaps know why it had to be this day? If so, comment below!
#cricket #cricketer #test #greatest #century #president #India #femalepresident #first #wikileaks #war #information #nsoj #lockdown #bangalore #yearsagotoday #todayinhistory #historylesson #college  #video","[{'text': 'cricket', 'indices': [69, 77]}, {'text': 'cricketer', 'indices': [78, 88]}, {'text': 'test', 'indices': [89, 94]}, {'text': 'greatest', 'indices': [95, 104]}, {'text': 'century', 'indices': [105, 113]}, {'text': 'president', 'indices': [114, 124]}, {'text': 'India', 'indices': [125, 131]}, {'text': 'femalepresident', 'indices': [132, 148]}, {'text': 'first', 'indices': [149, 155]}, {'text': 'wikileaks', 'indices': [156, 166]}, {'text': 'war', 'indices': [167, 171]}, {'text': 'information', 'indices': [172, 184]}, {'text': 'nsoj', 'indices': [185, 190]}, {'text': 'lockdown', 'indices': [191, 200]}, {'text': 'bangalore', 'indices': [201, 211]}, {'text': 'yearsagotoday', 'indices': [212, 226]}, {'text': 'todayinhistory', 'indices': [227, 242]}, {'text': 'historylesson', 'indices': [243, 257]}, {'text': 'college', 'indices': [258, 266]}, {'text': 'video', 'indices': [268, 274]}]","['perhaps', 'know', 'day', 'comment', 'below', 'cricket']","['#cricketer', '#test', '#greatest', '#century', '#president', '#India', '#femalepresident', '#first', '#wikileaks', '#war', '#information', '#nsoj', '#lockdown', '#bangalore', '#yearsagotoday', '#todayinhistory', '#historylesson', '#college', '#video']"
1566,lotl290166,"self confessed nerd, pedantic, proud Scouser, Human being, drummer, #autism","Liverpool, England",54,2,444,2020-06-03 17:50:40,2020-07-25 18:36:05,0,@Colin_UK_GB @BBCWorld There is no way we'll see a #lockdown,"[{'text': 'lockdown', 'indices': [51, 60]}]","['way', 'see']",['#lockdown']
1567,CloutNewsMedia,Clout News is your news and entertainment website. We provide you with the latest breaking news and videos straight from the entertainment industry.,India,16,1040,2758,2019-08-07 16:15:07,2020-07-25 18:35:54,0,"Courtney Cox celebrates Boyfriend Johnny McDaid’s Birthday with a Virtual Zoom Date
#courteneycox #johnnymcdaid #partner #birthday #virtualdate #zoom #coronavirus #lockdown #cougartown #covidsucks #myone #theellendegeneresshow #davidarquette #coparenting https://t.co/7tdpmguRml","[{'text': 'courteneycox', 'indices': [84, 97]}, {'text': 'johnnymcdaid', 'indices': [98, 111]}, {'text': 'partner', 'indices': [112, 120]}, {'text': 'birthday', 'indices': [121, 130]}, {'text': 'virtualdate', 'indices': [131, 143]}, {'text': 'zoom', 'indices': [144, 149]}, {'text': 'coronavirus', 'indices': [150, 162]}, {'text': 'lockdown', 'indices': [163, 172]}, {'text': 'cougartown', 'indices': [173, 184]}, {'text': 'covidsucks', 'indices': [185, 196]}, {'text': 'myone', 'indices': [197, 203]}, {'text': 'theellendegeneresshow', 'indices': [204, 226]}, {'text': 'davidarquette', 'indices': [227, 241]}, {'text': 'coparenting', 'indices': [242, 254]}]","['courtney', 'cox', 'celebrate', 'boyfriend', 'johnny', 'mcdaid', 'birthday', 'virtual', 'zoom', 'date', 'courteneycox']","['#johnnymcdaid', '#partner', '#birthday', '#virtualdate', '#zoom', '#coronavirus', '#lockdown', '#cougartown', '#covidsucks', '#myone', '#theellendegeneresshow', '#davidarquette', '#coparenting']"
1568,Sowmyatta,Compulsive Over-thinker | Mildly Rebellious | Constantly Curious,"Dallas, TX",276,347,4876,2009-03-14 02:40:24,2020-07-25 18:35:03,0,I hate that we have to discuss “what should we eat” three times a day now. What happened to the good old @DoorDash days?! Our decision to not eat out/order in is slowly killing me #pandemic #saturday,"[{'text': 'pandemic', 'indices': [180, 189]}, {'text': 'saturday', 'indices': [190, 199]}]","['hate', 'discuss', 'what', 'eat', 'three', 'time', 'day', 'now', 'happen', 'good', 'old', 'day', 'decision', 'eat', 'out', 'order', 'slowly', 'kill']","['#pandemic', '#saturday']"
1569,latestly,"https://t.co/U4rHOvEUQR focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news. https://t.co/OCtmVDjYfd","Mumbai, India",348,62652,129196,2017-02-07 05:41:28,2020-07-25 18:34:51,0,"Andhra Pradesh: People Allege Negligence in Conducting COVID-19 Tests at Government General Hospital in Narasaraopeta
https://t.co/i9vDirLoAW
#AndhraPradesh #Coronavirus #COVID19 #Pandemic #Testing #Hospital #treatment #GovernmentHospital","[{'text': 'AndhraPradesh', 'indices': [142, 156]}, {'text': 'Coronavirus', 'indices': [157, 169]}, {'text': 'COVID19', 'indices': [170, 178]}, {'text': 'Pandemic', 'indices': [179, 188]}, {'text': 'Testing', 'indices': [189, 197]}, {'text': 'Hospital', 'indices': [198, 207]}, {'text': 'treatment', 'indices': [208, 218]}, {'text': 'GovernmentHospital', 'indices': [219, 238]}]","['andhra', 'pradesh', 'people', 'allege', 'negligence', 'conducting', 'covid', 'test', 'government', 'general', 'hospital', 'narasaraopeta', 'andhrapradesh']","['#Coronavirus', '#COVID19', '#Pandemic', '#Testing', '#Hospital', '#treatment', '#GovernmentHospital']"
